,pt_code,text,text_de
0,10013573,DIZZING,DIZZEN
1,10047899,gain 20 lbs,20 lbs gewinnen
2,10037211,hyper,hyper
3,10033775,tingling,prickelnd
4,10033799,crippled,verkrüppelt
5,10061920,crazier,verrückter
6,10058920,Restless Leg Syndrome,Syndrom der ruhelosen Beine
7,10004716,binge,binge
8,10019211,headache,Kopfschmerzen
9,10003119,heart arrhythmia,Herzrhythmusstörungen
10,10016322,feel like crap,sich beschissen anfühlen
11,10047899,gain weight,an Gewicht zunehmen
12,10047899,weight gain,Gewichtszunahme
13,10020466,hungry,hungrig
14,10041349,sleepy,schläfrig
15,10013573,loopy,verrückt
16,10047899,gain weight,an Gewicht zunehmen
17,10016322,not feeling good,kein gutes Gefühl
18,10057667,Bi-Polar,Bi-Polar
19,10064805,may NOT switch your brain off,darf Ihr Gehirn NICHT abschalten
20,10047899,weight gain,Gewichtszunahme
21,10028596,like I'm having a heart attack,als hätte ich einen Herzinfarkt
22,10000125,crazy shit in my dreams,verrückte Scheiße in meinen Träumen
23,10000125,dreams,Träume
24,10002855,anxiety,Angst
25,10016322,zombified,zombifiziert
26,10024264,lethargy,Lethargie
27,10016322,zombieish,zombiehaft
28,10041349,haze,Dunst
29,10000087,stomach hurt,Bauchschmerzen
30,10025482,siiiiiiiiiiiiiiick,siiiiiiiiiiiiiiiiiiiiiiiiiiick
31,10041349,sleepy,schläfrig
32,10048010,withdrawls,zieht sich zurück
33,10047899,weight gain,Gewichtszunahme
34,10041349,drowsy,schläfrig
35,10027951,mood,Stimmung
36,10033557,heart was hurting,das Herz schmerzte
37,10061920,madness,Wahnsinn
38,10053615,burns,brennt
39,10057667,bipolar,bipolar
40,10048010,wdrawal,wdrawal
41,10011401,crohns,crohns
42,10042209,stressful,stressigen
43,10034972,sun sensitivity,Sonnenempfindlichkeit
44,10003549,zap me of all energy,zappen Sie mich von aller Energie
45,10047899,gained weight,Gewicht zugenommen
46,10043757,thyroid,Schilddrüse
47,10028836,Neck ache,Nackenschmerzen
48,10047899,gain 18 kg,18 kg zunehmen
49,10033664,panic attack,Panikattacke
50,10047700,Vomits,Erbricht
51,10022998,irritable,gereizt
52,10047895,lost tons of weight,Tonnen von Gewicht verloren
53,10047895,wt loss,Gewichtsverlust
54,10047340,vertigo,Schwindelgefühl
55,10020765,sleep,schlafen
56,10044565,shakes,schüttelt
57,10027599,migraines,Migräne
58,10020765,sleeping 15 hrs,15 Stunden schlafen
59,10022437,sleeping schedule of a fucking vampire,Schlafplan eines verdammten Vampirs
60,10016256,tired,müde
61,10027175,forgetting,Vergessen
62,10016256,tiredness,Müdigkeit
63,10027599,migraines,Migräne
64,10036018,PEE SO OFTEN,PEE SO OFTEN
65,10020765,Just about dead,So gut wie tot
66,10041002,sleep paralysis,Schlaflähmung
67,10019133,hangover,Kater
68,10029898,OCD,OCD
69,10020765,14 hour nap,14-stündiger Mittagsschlaf
70,10033371,pain,Schmerz
71,10000496,acne,Akne
72,10000125,dream all types of crazy,alle Arten von Verrückten träumen
73,10006514,grinds the shit out of their teeth,knirscht ihnen die Scheiße aus den Zähnen
74,10029412,nightmares,Alpträume
75,10048010,withdrawal,Rückzug
76,10021654,portions Prob too big,Portionen Wahrscheinlich zu groß
77,10016256,tired,müde
78,10022437,never sleep,niemals schlafen
79,10041349,drowsy,schläfrig
80,10029898,OCD,OCD
81,10061461,impotency,Ohnmacht
82,10029412,bad dreams,schlechte Träume
83,10027175,holes in my head,Löcher in meinem Kopf
84,10067125,destroyed my liver,hat meine Leber zerstört
85,10047700,Almost vomited,Fast erbrochen
86,10019211,headaches,Kopfschmerzen
87,10027175,screwing with my memory,mein Gedächtnis durcheinander bringen
88,10013781,dry mouth,Mundtrockenheit
89,10046571,uti,uti
90,10022998,irritability,Reizbarkeit
91,10061428,no appetite,kein Appetit
92,10013573,dizzy,schwindlig
93,10061428,rid of my appetite,meinen Appetit loswerden
94,10019075,see shapes,siehe Formen
95,10058920,RLS,RLS
96,10041349,troubles waking up,Schwierigkeiten beim Aufwachen
